🕘️更新时间,#genre#
2026-03-23 19:22:42,https://live.264788.xyz/channel/cctv1?streamid=b70f49f1278b1803cee72798e5ef0ca4&livekey=01WhVqP6fzhBhU8au1Rrs9gUlMbpGRftyStYz

📺央视频道,#genre#
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=b70f49f1278b1803cee72798e5ef0ca4&livekey=01WhVqP6fzhBhU8au1Rrs9gUlMbpGRftyStYz
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=ae1fc95449a7d4a13c53490cbcae614f&livekey=01WhVqP6fzhBhU8au1Rrs9gUlMbpGRftyStYz
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=a0be365ff6a320be467e29a5a20cd153&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=cccb6b9cad34d95eaf06a39fcf6acd9e&livekey=01WhVqP6fzhBhU8au1Rrs9gUlMbpGRftyStYz
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=f3c88f5bed400d18fdad31f3ab120932&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=180430fb8fa7c063eee7a81a514dd67b&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=3ad8659873beb150fd0c70e2762d1f51&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=9b5a7335fd8ad80130013d1a0ac12cc5&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=03bad19e7d6d7984e79b31bbcf7e3c35&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=6c99eea9d4ab7ab7060aee325896ce15&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
