分类: 📺央视频道, 名称: CCTV-1, 有效: 6, IPv4: 25, IPv6: 0, 最小延迟: 454 ms, 最高速率: 3.95 M/s, 平均速率: 1.93 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 6, IPv4: 19, IPv6: 0, 最小延迟: 447 ms, 最高速率: 8.74 M/s, 平均速率: 2.95 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 6, IPv4: 15, IPv6: 0, 最小延迟: 446 ms, 最高速率: 3.39 M/s, 平均速率: 2.12 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 6, IPv4: 17, IPv6: 0, 最小延迟: 211 ms, 最高速率: 10.29 M/s, 平均速率: 4.20 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 447 ms, 最高速率: 10.48 M/s, 平均速率: 4.76 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 11, IPv6: 0, 最小延迟: 3116 ms, 最高速率: 1.90 M/s, 平均速率: 1.04 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 444 ms, 最高速率: 9.05 M/s, 平均速率: 4.19 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 6, IPv4: 20, IPv6: 0, 最小延迟: 440 ms, 最高速率: 5.66 M/s, 平均速率: 2.21 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 448 ms, 最高速率: 7.60 M/s, 平均速率: 2.47 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 6, IPv4: 19, IPv6: 0, 最小延迟: 444 ms, 最高速率: 6.86 M/s, 平均速率: 2.67 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 6, IPv4: 20, IPv6: 0, 最小延迟: 444 ms, 最高速率: 6.88 M/s, 平均速率: 2.78 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 458 ms, 最高速率: 3.89 M/s, 平均速率: 1.53 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 6, IPv4: 18, IPv6: 0, 最小延迟: 450 ms, 最高速率: 4.36 M/s, 平均速率: 1.57 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 446 ms, 最高速率: 14.46 M/s, 平均速率: 6.48 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 6, IPv4: 19, IPv6: 0, 最小延迟: 445 ms, 最高速率: 7.30 M/s, 平均速率: 2.71 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 1295 ms, 最高速率: 8.54 M/s, 平均速率: 4.39 M/s, 最高分辨率: 3840x2160
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 441 ms, 最高速率: 6.20 M/s, 平均速率: 3.14 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 6, IPv4: 15, IPv6: 0, 最小延迟: 87 ms, 最高速率: 23.75 M/s, 平均速率: 8.03 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 444 ms, 最高速率: 0.63 M/s, 平均速率: 0.63 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 449 ms, 最高速率: 0.38 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📺央视频道, 名称: CETV-4, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 442 ms, 最高速率: 0.85 M/s, 平均速率: 0.74 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 441 ms, 最高速率: 6.56 M/s, 平均速率: 2.80 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 19, IPv6: 0, 最小延迟: 439 ms, 最高速率: 3.97 M/s, 平均速率: 2.01 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 443 ms, 最高速率: 30.11 M/s, 平均速率: 10.77 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 22, IPv6: 0, 最小延迟: 449 ms, 最高速率: 34.42 M/s, 平均速率: 2.38 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 446 ms, 最高速率: 5.38 M/s, 平均速率: 2.04 M/s, 最高分辨率: 1920x1080
