🕘️更新时间,#genre#
2026-03-05 21:18:22,https://live.264788.xyz/channel/cctv1?streamid=7c2ca36ec3508f1d1d7aae0ffcc20640&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A

📺央视频道,#genre#
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=7c2ca36ec3508f1d1d7aae0ffcc20640&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=a0be365ff6a320be467e29a5a20cd153&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=998729a1cb7cf591d704867af0706fcc&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=f3c88f5bed400d18fdad31f3ab120932&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=48c1974280a3a6456c75be0030beaef3&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=03bad19e7d6d7984e79b31bbcf7e3c35&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=6c99eea9d4ab7ab7060aee325896ce15&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=9b5a7335fd8ad80130013d1a0ac12cc5&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=3ad8659873beb150fd0c70e2762d1f51&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-2,http://42.237.25.194:9999/rtp/225.1.2.78:10462
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=8d9bc9cf7929e2315bf7d380324a8884&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=fcbb4ccc5fe91f99ae0e689f692373c7&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=eb965ce72d50a8223f2a0bf3b9aa7f22&livekey=01WhVqP6fzhBhU8atqeKMBKScTnSGNOazTf2A
CCTV-3,http://42.237.24.146:9999/rtp/225.1.2.141:10864
